> 地图字符串的词元词典。摄像头名基本是有限词汇的自由组合（"Bridge East"、
> "Main Hall West"），逐条人工翻 2000 多条不现实也不一致，所以按词元翻译后组合。
> 格式：<英文词元小写>\t<中文>。空译文表示该词元在组合时丢弃（of/the/and 之类）。
> 未收录的词元原样保留（人名、缩写、拼写错误等）。
> 由 compose_map_strings.py 使用。
hall	厅
bar	酒吧
bartender	酒保
bartender's	酒保
kitchen	厨房
cooking	烹饪
chef	厨师
chef's	厨师
cafeteria	食堂
cafe	咖啡厅
coffee	咖啡
restaurant	餐厅
dining	餐饮
food	餐饮
eaties	小吃
bagel	贝果
takeout	外卖
freezer	冷库
botany	植物学
botanist's	植物学家
hydroponics	水培
hydro	水培
garden	花园
arboretum	植物园
grow	种植
growies	种植区
greenhouse	温室
nature	自然
chapel	教堂
chaplain	牧师
chaplain's	牧师
chaplains	牧师
altar	祭坛
shrine	神龛
sanctuary	圣所
priory	修道院
janitor	清洁工
janitor's	清洁工
janitoral	清洁
janitorial	清洁
janitors	清洁工
jani	清洁工
laundry	洗衣房
closet	储物间
library	图书馆
librarian	图书管理员
librarian's	图书管理员
reading	阅览
classics	典藏
education'	教育
theatre	剧院
theater	剧院
stage	舞台
backstage	后台
studio	演播室
audience	观众席
musician	乐师
musician's	乐师
music	音乐
instrument	乐器
jukebox	点唱机
podcast	播客
press	新闻
news	新闻
newsroom	新闻编辑室
reporter's	记者
repor	记者
liveleak	直播
tv	电视
clown	小丑
clown's	小丑
honk	蜂鸣
honkhonkhonkhonkhonkhonk	蜂鸣蜂鸣蜂鸣
mime	默剧演员
mime's	默剧演员
arcade	街机厅
game	游戏
gameroom	游戏室
games	游戏
gaming	游戏
gamba	赌场
gambling	赌场
casino	赌场
prize	奖品
toy	玩具
boutique	精品店
clothing	服装
shop	商店
chang's	张先生
mr	先生
dr	博士
vending	自动售货
spacebucks	太空币
bank	银行
atm	自动柜员机
dorms	宿舍
dorm	宿舍
dormitory	宿舍
dormitories	宿舍
bedroom	卧室
bed	床位
sleep	睡眠
abode	住所
house	住所
hut	小屋
shack	棚屋
den	休憩室
lounge	休息室
breakroom	休息室
break	休息
rest	休息
sitting	起居
seating	座位区
parlor	休息室
club	俱乐部
party	派对
smoking	吸烟
bathroom	盥洗室
restroom	盥洗室
restrooms	盥洗室
washroom	盥洗室
toilets	厕所
shower	淋浴
sink	水槽
sinks	水槽
locker	储物柜
lockers	储物柜
lockeroom	更衣室
changing	更衣
change	更衣
dressing	更衣
redress	更衣
sauna	桑拿房
pool	泳池
swimming	游泳
beach	沙滩
sands	沙地
cove	湾
boxing	拳击
boxer's	拳手
arena	竞技场
basketball	篮球
practice	训练
training	训练
career	职业
staff	员工
crew	船员
civilian	平民
passenger	乘客
vip	贵宾
guest	访客
telecomms	通讯
telecoms	通讯
telecommunications	通讯
comms	通讯
server	服务器
servers	服务器
data	数据
hub	枢纽
network	网络
routers	路由器
channel	频道
camera	摄像头
cameras	摄像头
cams	摄像头
cam	摄像头
iancam	伊恩摄像头
address	地址
board	主板
boards	主板
tech	技术
technical	技术
machine	机器
unit	单元
rig	装置
field	力场
containment	封闭
confinement	封闭
chamber	舱室
chambers	舱室
zoo	动物园
zookeeper	饲养员
zookeeper's	饲养员
keeper's	饲养员
husbandry	饲养
enclosures	围栏
pens	围栏
pen	围栏
cage	笼舍
animal	动物
monkey	猴子
monkeys	猴子
gorilla	大猩猩
penguin	企鹅
penguins	企鹅
lizard	蜥蜴
parrot	鹦鹉
cat	猫
kitty	猫咪
birdies	鸟儿
crabs	螃蟹
lobster	龙虾
serpents	蛇
snakies	小蛇
sturgeon	鲟鱼
vox	沃克斯
gorlex	戈莱克斯
interdyne	因特代恩
interyne	因特代恩
cybersun	赛博阳
donk	当克
co	公司
nct	NCT
nct's	NCT
ert	ERT
evac	撤离
evacuation	撤离
escape	逃生
emergency	应急
arrivals	到站厅
arrival	到站
departures	离站
shuttle	穿梭机
ship	飞船
pirate	海盗
outpost	前哨
station	空间站
base	基地
asteroid	小行星
rock	岩层
space	太空
outer	外
zone	区
area	区
department	部
wing	区
sector	区
section	区
post	岗
checkpoint	检查站
guard	警卫
maintenance	维护通道
maint	维护通道
maints	维护通道
backrooms	后间
backroom	后间
construction	建造
constuction	建造
staging	集结
preparation	准备
prep	准备
ready	待命
starting	出发
holodeck	全息甲板
simulation	模拟
matter	物质
hazardous	危险品
bomb	炸弹
bombs	炸弹
firebreak	防火隔断
decon	净化
clean	净化
processing	处理
mailroom	邮件室
mail	邮件
mailing	邮寄
barracks	兵营
bunker	地堡
armor	护甲
laser	激光
lmg	轻机枪
of
the
and
to
at
by
or
with
also
just
than
it's
're
o'
o
anchor	锚定器
burn	烧伤
ring	环
ext	外部
blue	蓝
red	红
orange	橙
purple	紫
shooting	射击
reporter	记者
magistrate	治安官
pit	坑
cryopod	冷冻舱
drugstore	药店
quarters	住舱
show	展示
barbershop	理发店
psychology	心理科
shell	外壳
team	组
warehouse	仓库
heart	核心
automated	自动
trade	贸易
wizard	巫师
operative	特工
utilities	公用设施
entertainment	娱乐
play	游乐
panic	紧急
smoke	吸烟
statue	雕像
collective	公共
execution	行刑
crate	板条箱
fountain	喷泉
stand	站台
enhanced	强化
opticians	眼镜店
hydraulic	液压
order	订单
amenities	生活设施
request	申请
syndicate	辛迪加
point	点
alpha	阿尔法
comet	彗星
lottery	抽奖
quarter	舷段
fish	鱼
bio	生物
farm	农场
washrooms	盥洗室
pass	通道
special	特勤
operations'	行动
scrubber	洗涤舰
cryostorage	冷冻仓储
bathrooms	盥洗室
general's	将军
representative's	代表
borg	赛博格
barraks	兵营
warehouse	仓库
> 以下为固定搭配（多词元），匹配时优先于单词元。
locker room	更衣室
locker rooms	更衣室
break room	休息室
control room	控制室
server room	服务器机房
engine room	引擎室
machine room	机房
dining room	餐厅
meeting room	会议室
conference room	会议室
exam room	诊查室
operating room	手术室
living quarters	生活舱
crew quarters	船员住舱
head of personnel	人事主管
head of security	安保主管
chief engineer	工程主管
chief medical officer	医疗主管
research director	研究主管
research and development	研发部
gravity generator	重力发生器
particle accelerator	粒子加速器
point defense	近防
tool storage	工具储藏室
main hall	主厅
front desk	前台
security office	安保办公室
head of personnel's	人事主管
head of security's	安保主管
chief engineer's	工程主管
chief medical officer's	医疗主管
research director's	研究主管
